"CIK","CompanyName","EIN","StateOfIncorp","FiscalYearEnd","Type","Act","FileNo","FilmNo","BusinessAddress","MailingAddress","Filings","Format","Description","Filing Date","File/Film Num.","Link"
"0001721008","Blackstone Property Partners Europe L.P.CIK#:0001721008 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001721008-17-000001 (33 Act)  Size: 20 KB","2017-11-08","","https://www.sec.gov/Archives/edgar/data/1721008/000172100817000001/0001721008-17-000001-index.htm"
"0001721011","Blackstone Property Partners Europe F L.P.CIK#:0001721011 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001721011-17-000002 (33 Act)  Size: 20 KB","2017-11-08","","https://www.sec.gov/Archives/edgar/data/1721011/000172101117000002/0001721011-17-000002-index.htm"
"0001722948","Blackstone Pi Co-Invest (Cayman) L.P.CIK#:0001722948 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001722948-17-000001 (33 Act)  Size: 12 KB","2017-11-22","","https://www.sec.gov/Archives/edgar/data/1722948/000172294817000001/0001722948-17-000001-index.htm"
"0001724911","Blackstone Total Alternatives Solution IV L.P.CIK#:0001724911 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001724911-17-000003 (33 Act)  Size: 16 KB","2017-12-21","","https://www.sec.gov/Archives/edgar/data/1724911/000172491117000003/0001724911-17-000003-index.htm"
"0001724912","Blackstone Total Alternatives Solution IV-A L.P.CIK#:0001724912 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001724912-17-000001 (33 Act)  Size: 16 KB","2017-12-21","","https://www.sec.gov/Archives/edgar/data/1724912/000172491217000001/0001724912-17-000001-index.htm"
"0001726109","Blackstone Tactical Opportunities Fund - HL L.P.CIK#:0001726109 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001726109-18-000001 (33 Act)  Size: 11 KB","2018-01-30","","https://www.sec.gov/Archives/edgar/data/1726109/000172610918000001/0001726109-18-000001-index.htm"
"0001728188","Blackstone Alternatives Solution IV L.P.CIK#:0001728188 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001728188-18-000001 (33 Act)  Size: 16 KB","2018-01-19","","https://www.sec.gov/Archives/edgar/data/1728188/000172818818000001/0001728188-18-000001-index.htm"
"0001728189","Blackstone Alternatives Solution IV Fund (Offshore), L.P.CIK#:0001728189 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001728189-18-000001 (33 Act)  Size: 15 KB","2018-01-19","","https://www.sec.gov/Archives/edgar/data/1728189/000172818918000001/0001728189-18-000001-index.htm"
"0001728458","Blackstone Alt Sol IV (Offshore), L.P.-SIFCIK#:0001728458 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001728458-18-000001 (33 Act)  Size: 15 KB","2018-01-19","","https://www.sec.gov/Archives/edgar/data/1728458/000172845818000001/0001728458-18-000001-index.htm"
"0001732649","Blackstone Property Partners Europe (Lux) SCSpCIK#:0001732649 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001732649-18-000001 (33 Act)  Size: 12 KB","2018-03-02","","https://www.sec.gov/Archives/edgar/data/1732649/000173264918000001/0001732649-18-000001-index.htm"
